City,BankState,ApprovalFY,NoEmp,NewExist,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,Accept,Franchise,CreateJobBinary,RetainedJobBinary,DisbursementGross_rango,BalanceGross_rango
COLUMBUS,OH,2010,10,0,1,0,0,35000.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
POLAND,OH,1995,54,0,0,0,0,469000.0,0.0,1,0,0,1,Alto,Sin Saldo
CUYAHOGA FALLS,DE,1998,2,0,0,0,1,100000.0,0.0,0,0,0,0,Medio,Sin Saldo
TROY,IL,2006,5,0,1,1,0,25000.0,0.0,0,0,1,1,Muy bajo,Sin Saldo
TIFFIN,OH,2004,8,0,2,0,0,340000.0,0.0,1,0,0,1,Alto,Sin Saldo
RAVENNA,IL,2010,12,0,1,0,0,35000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
MANSFIELD,CA,2003,12,0,1,0,0,227000.0,0.0,0,0,1,1,Alto,Sin Saldo
DAYTON,OH,2005,3,0,1,0,0,210000.0,0.0,1,0,0,1,Alto,Sin Saldo
CINCINNATI,OH,2004,4,0,1,0,0,134000.0,0.0,1,0,1,1,Medio,Sin Saldo
COLUMBUS,OH,2003,2,1,1,0,0,38000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
DRESDEN,IL,2002,4,0,1,1,0,48041.0,0.0,1,0,0,1,Bajo,Sin Saldo
WILLOUGHBY,OH,1999,12,1,1,0,0,350000.0,0.0,1,0,0,0,Alto,Sin Saldo
NEW ALBANY,OH,2001,6,1,2,0,1,146000.0,0.0,1,1,0,0,Medio,Sin Saldo
COLUMBUS,OH,2010,2,0,1,0,0,48000.0,0.0,1,0,1,1,Bajo,Sin Saldo
MANSFIELD,OH,2003,10,0,1,1,0,15812.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
ASHTABULA,OH,2003,6,0,1,0,1,72000.0,0.0,1,0,0,0,Bajo,Sin Saldo
STRYKER,SD,2000,4,0,2,0,0,727700.0,0.0,1,0,0,0,Alto,Sin Saldo
CINCINNATI,OH,2008,7,0,1,1,0,57930.0,0.0,1,0,1,1,Bajo,Sin Saldo
HUDSON,OH,2003,5,1,1,0,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
WESTERVILLE,IL,2007,2,0,1,1,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
MEDINA,OH,1999,1,1,0,0,0,334000.0,0.0,1,0,0,0,Alto,Sin Saldo
CINCINNATI,OH,2000,2,1,0,0,0,44500.0,0.0,1,0,0,0,Bajo,Sin Saldo
TROY,NY,2007,1,1,2,1,0,49896.0,0.0,1,1,1,1,Bajo,Sin Saldo
YOUNGSTOWN,OH,1974,1,1,0,0,0,15000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CINCINNATI,OH,2005,14,0,1,1,0,10191.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
MEDINA,IL,2004,4,1,1,0,0,113100.0,0.0,1,0,0,0,Medio,Sin Saldo
HOLLAND,RI,2005,15,0,2,0,0,48000.0,0.0,0,0,1,1,Bajo,Sin Saldo
WAYNESVILLE,OH,2009,1,1,1,1,0,12564.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
HUDSON,OH,1997,1,1,0,0,0,160000.0,0.0,1,0,0,0,Medio,Sin Saldo
SPRINGFIELD,OH,2008,1,0,1,1,0,38607.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
COLUMBUS,OH,1996,76,0,0,0,0,270000.0,0.0,1,0,1,1,Alto,Sin Saldo
BEACHWOOD,OH,2012,25,0,1,0,0,26100.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CLEVELAND,RI,2006,8,0,1,1,0,5000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
WILLOUGHBY,OH,1991,20,1,0,0,0,450000.0,0.0,1,0,0,0,Alto,Sin Saldo
CINCINNATI,DE,2004,1,0,1,0,0,80000.0,0.0,1,0,1,1,Bajo,Sin Saldo
CLEVELAND,OH,2001,2,0,1,1,0,15000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
BROADVIEW HEIGHTS,DE,2001,1,0,2,0,1,130500.0,0.0,0,0,0,0,Medio,Sin Saldo
BELLEFONTAINE,OH,1997,43,0,0,0,0,381000.0,0.0,1,0,1,1,Alto,Sin Saldo
CINCINNATI,OH,1994,70,0,0,0,0,319000.0,0.0,1,0,1,1,Alto,Sin Saldo
STRONGSVILLE,VA,2006,3,0,1,0,0,50000.0,0.0,1,0,1,1,Bajo,Sin Saldo
HUDSON,SD,2006,5,0,1,1,0,60997.0,0.0,0,0,1,1,Bajo,Sin Saldo
CANFIELD,OH,2002,9,0,2,0,1,135000.0,0.0,0,0,0,0,Medio,Sin Saldo
AKRON,IL,2006,50,0,1,0,0,118800.0,0.0,1,0,1,1,Medio,Sin Saldo
WESTERVILLE,OH,2004,1,1,1,0,0,45000.0,0.0,1,0,1,0,Bajo,Sin Saldo
CLEVELAND,OH,2002,93,0,1,0,0,670000.0,0.0,1,0,1,0,Alto,Sin Saldo
SIDNEY,OH,2005,10,0,2,1,0,10000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
CLEVELAND,OH,2000,130,0,1,0,0,650000.0,0.0,1,0,0,0,Alto,Sin Saldo
CHAGRIN FALLS,OH,2011,2,1,1,1,0,641825.0,0.0,1,0,1,1,Alto,Sin Saldo
ZANESVILLE,IL,1990,5,0,0,0,0,43000.0,0.0,1,1,0,0,Bajo,Sin Saldo
ELYRIA,OH,1995,20,0,0,0,1,100000.0,0.0,1,0,0,0,Medio,Sin Saldo
TOLEDO,RI,2005,1,0,1,1,0,5000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
LANCASTER,OH,1992,35,0,0,0,0,400000.0,0.0,1,0,0,0,Alto,Sin Saldo
MENTOR,OH,1992,5,0,0,0,0,50000.0,0.0,1,0,1,1,Bajo,Sin Saldo
SHAKER HEIGHTS,OH,2005,12,0,1,0,0,260000.0,0.0,1,0,1,0,Alto,Sin Saldo
XENIA,OH,1986,39,0,0,0,0,210000.0,0.0,0,0,0,0,Alto,Sin Saldo
BATAVIA,CA,2005,25,0,2,1,0,175000.0,0.0,1,0,1,1,Medio,Sin Saldo
MOGADORE,OH,2002,51,0,1,0,0,400000.0,0.0,1,0,0,0,Alto,Sin Saldo
DAYTON,OH,1999,42,0,0,0,0,391000.0,0.0,1,0,1,1,Alto,Sin Saldo
COLUMBUS,OH,2006,5,0,1,0,0,25000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CANTON,OH,1995,1,1,0,0,1,44000.0,0.0,1,0,0,0,Bajo,Sin Saldo
MASSILLON,OH,2005,3,0,1,0,0,49999.0,0.0,0,0,0,1,Bajo,Sin Saldo
STRUTHERS,IL,2003,6,0,1,1,0,29000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
STEUBENVILLE,OH,1997,12,1,0,0,1,55000.0,0.0,1,0,0,0,Bajo,Sin Saldo
EAST CLEVELAND,OH,2009,1,1,1,0,0,680000.0,0.0,1,0,1,1,Alto,Sin Saldo
FAIRFIELD,OH,1998,30,0,0,0,0,159000.0,0.0,1,0,1,0,Medio,Sin Saldo
CLEVELAND,OH,2007,2,0,1,1,0,132000.0,0.0,1,0,1,1,Medio,Sin Saldo
MACEDONIA,OH,1997,30,0,0,0,0,50000.0,0.0,1,0,0,0,Bajo,Sin Saldo
WILMINGTON,OH,2004,10,0,2,0,0,790000.0,0.0,1,1,0,0,Alto,Sin Saldo
CLEVELAND,OH,2004,3,0,1,1,0,10000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
ASHTABULA,PA,1992,8,0,0,0,0,210000.0,0.0,1,0,0,0,Alto,Sin Saldo
FAIRFIELD,OH,1991,11,0,0,0,0,160000.0,0.0,1,0,1,1,Medio,Sin Saldo
RICHFIELD,OH,2003,3,1,2,0,1,56560.0,0.0,1,0,0,0,Bajo,Sin Saldo
WORTHINGTON,OH,1983,178,0,0,0,0,500000.0,0.0,1,0,0,0,Alto,Sin Saldo
DUBLIN,IL,2008,2,1,1,0,0,24961.0,0.0,0,0,1,1,Muy bajo,Sin Saldo
COLUMBUS,IL,1990,4,0,0,0,0,102800.0,0.0,1,0,0,0,Medio,Sin Saldo
CENTERVILLE,VA,2006,2,0,1,0,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
CLEVELAND,OH,2004,9,0,1,0,0,460000.0,0.0,1,0,0,1,Alto,Sin Saldo
WOOSTER,DE,2008,8,0,1,0,0,100000.0,0.0,1,0,0,1,Medio,Sin Saldo
CLEVES,DE,2004,2,0,1,1,0,33874.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
COLUMBUS,IL,2002,8,0,1,1,0,35000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
BRECKSVILLE,RI,2005,3,0,1,1,0,3000.0,0.0,0,0,0,0,Muy bajo,Sin Saldo
FAIRFIELD,OH,2002,4,1,1,0,1,60000.0,0.0,1,0,0,0,Bajo,Sin Saldo
CLEVELAND HEIGHTS,OH,1995,9,0,0,0,1,80000.0,0.0,1,0,0,0,Bajo,Sin Saldo
HILLIARD,RI,2006,2,0,1,1,0,12486.0,0.0,0,0,1,1,Muy bajo,Sin Saldo
CAREY,OH,1998,3,1,0,0,1,20000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CINCINNATI,OH,1990,1,1,0,0,0,42904.0,0.0,1,0,0,0,Bajo,Sin Saldo
CHARDON,OH,2006,8,1,2,0,0,280000.0,0.0,0,0,0,1,Alto,Sin Saldo
WEST CHESTER,FL,2005,1,1,2,0,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
COLUMBUS,OH,2003,1,1,1,0,0,361000.0,0.0,1,0,1,1,Alto,Sin Saldo
AKRON,OH,2002,6,0,1,0,0,45000.0,0.0,1,0,1,1,Bajo,Sin Saldo
RICHMOND HTS,OH,2008,0,0,1,1,0,35078.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
TOLEO,OH,1990,10,1,0,0,0,120000.0,0.0,1,0,0,0,Medio,Sin Saldo
SALEM,OH,1999,10,0,2,0,0,714000.0,0.0,1,0,0,0,Alto,Sin Saldo
WESTERVILLE,IL,2006,2,1,1,1,0,25000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
COLUMBUS,OH,1988,9,0,0,0,0,69000.0,0.0,1,0,1,1,Bajo,Sin Saldo
EAST LIVERPOOL,OH,2010,26,0,2,0,0,120000.0,0.0,1,1,0,1,Medio,Sin Saldo
DAYTON,OH,1998,17,0,0,0,0,115000.0,0.0,1,0,0,0,Medio,Sin Saldo
CLEVELAND,OH,1977,9,0,0,0,0,59000.0,0.0,0,0,0,0,Bajo,Sin Saldo
STOW,RI,2005,3,0,1,0,0,43000.0,0.0,1,0,0,1,Bajo,Sin Saldo
PORTSMOUTH,OH,1998,2,1,0,0,1,100000.0,0.0,1,0,0,0,Medio,Sin Saldo
CINCINNATI,OH,1995,3,0,0,0,1,25000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
BARBERTON,OH,1993,4,0,0,0,0,189860.0,0.0,1,0,0,0,Medio,Sin Saldo
YOUNGSTOWN,CA,2003,12,0,1,0,0,460000.0,0.0,1,1,0,1,Alto,Sin Saldo
BENTON RIDGE,VA,2007,1,0,2,0,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
CINCINNATI,OH,1997,15,0,0,0,0,91000.0,0.0,1,0,1,0,Medio,Sin Saldo
REYNOLDSBURG,OH,2011,12,0,1,0,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
MENTOR,OH,2000,12,1,1,0,0,1100000.0,0.0,1,1,1,1,Alto,Sin Saldo
AKRON,IL,2011,7,1,1,0,0,25400.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
CLEVELAND,OH,1997,1,1,0,0,1,100000.0,0.0,1,0,0,0,Medio,Sin Saldo
MIDDLEBURG HEIGHTS,OH,2004,3,1,1,0,0,150000.0,0.0,1,0,1,0,Medio,Sin Saldo
TOLEDO,OH,2000,1,0,1,1,0,27866.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
VALLEY CITY,OH,2011,5,1,1,1,0,55000.0,0.0,1,0,1,1,Bajo,Sin Saldo
DUBLIN,OH,2006,20,0,1,0,0,25000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
COLUMBUS,OH,2001,1,1,1,0,1,35000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
WILLIAMSBURG,IL,2001,6,0,1,1,0,70000.0,0.0,1,0,1,1,Bajo,Sin Saldo
CLERTOMA,PA,1998,5,1,0,0,0,15000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
LYNDHURST,IL,1995,1,1,0,0,1,100000.0,0.0,1,1,0,0,Medio,Sin Saldo
LAGRANGE,OH,1996,32,0,0,0,0,534000.0,0.0,1,0,1,0,Alto,Sin Saldo
CLEVELAND,RI,2005,2,1,1,1,0,4545.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
MENTOR,OH,1997,1,1,0,0,1,80000.0,0.0,1,0,0,0,Bajo,Sin Saldo
POLAND,OH,1998,17,0,0,0,1,100000.0,0.0,1,0,0,0,Medio,Sin Saldo
CINCINNATI,OH,2007,2,1,1,1,0,20000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
LIMA,OH,2009,1,1,1,0,0,3943000.0,0.0,1,0,1,0,Alto,Sin Saldo
NEWARK,IL,2004,31,0,1,1,0,80812.0,0.0,1,0,1,1,Bajo,Sin Saldo
COLUMBUS,IL,1995,6,0,0,1,0,20000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CLEVELAND,RI,2007,7,0,1,0,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
MEDINA,VA,2007,1,0,1,1,0,103393.0,0.0,0,0,0,1,Medio,Sin Saldo
COLUMBUS,CA,2007,1,1,1,0,0,10000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
DAYTON,OH,2004,2,0,1,1,0,21945.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
COLUMBUS,OH,1992,4,1,0,0,0,80000.0,0.0,1,1,0,0,Bajo,Sin Saldo
TOLEDO,OH,2005,2,1,1,0,0,40000.0,0.0,1,1,1,1,Muy bajo,Sin Saldo
ARLINGTON,OH,1992,16,0,0,0,0,370000.0,0.0,1,0,0,0,Alto,Sin Saldo
MIDDLETOWN,OH,1989,4,1,0,0,0,62000.0,0.0,1,0,1,0,Bajo,Sin Saldo
YOUNGSTOWN,OH,2006,14,1,1,0,0,700000.0,0.0,1,0,0,1,Alto,Sin Saldo
WESTON,OH,1999,18,0,0,0,0,88000.0,0.0,1,0,0,0,Medio,Sin Saldo
OSTRANDER,OH,2007,3,0,2,1,0,35000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
TROTWOOD,OH,1999,3,0,0,1,0,10000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
HARROD,OH,1999,5,0,0,0,0,316000.0,0.0,1,0,0,0,Alto,Sin Saldo
TOLEDO,DE,2001,4,1,1,0,1,72200.0,0.0,0,0,0,0,Bajo,Sin Saldo
PIQUA,OH,1998,15,0,0,0,0,283000.0,0.0,1,0,1,0,Alto,Sin Saldo
LANCASTER,IL,2008,7,0,1,0,0,12300.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
JEFFERSON,RI,2006,23,0,1,0,0,42708.0,0.0,0,0,0,1,Bajo,Sin Saldo
COLUMBUS,IL,2001,2,1,1,0,0,15000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
NEW PARIS,OH,2003,5,0,2,1,0,27068.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
CADIZ,OH,1998,8,1,0,0,1,68000.0,0.0,1,0,0,0,Bajo,Sin Saldo
TALLMADGE,VA,2004,14,0,1,0,0,50000.0,0.0,0,0,1,1,Bajo,Sin Saldo
CELINA,OH,2008,11,1,2,0,0,49300.0,0.0,1,1,0,1,Bajo,Sin Saldo
WILLOUGHBY,OH,1986,25,0,0,0,0,374000.0,0.0,1,1,0,0,Alto,Sin Saldo
COLUMBUS,OH,1994,25,0,0,0,0,100000.0,0.0,1,0,0,0,Medio,Sin Saldo
KINGSVILLE,OH,2002,3,0,2,0,1,125000.0,0.0,1,0,0,0,Medio,Sin Saldo
NORTH CANTON,OH,1997,9,0,0,0,0,322000.0,0.0,1,0,1,1,Alto,Sin Saldo
BRUNSWICK,OH,2005,25,0,1,0,0,506000.0,0.0,1,0,1,0,Alto,Sin Saldo
NORTHWOOD,OH,1996,6,0,0,0,0,60000.0,0.0,1,0,0,0,Bajo,Sin Saldo
WILLIAMSBURG,IL,2000,1,1,1,0,0,63000.0,0.0,1,0,1,1,Bajo,Sin Saldo
COLTON,IL,2006,1,1,2,1,0,33058.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
NEW HOLLAND,OH,2012,12,0,1,1,0,21000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
MAUMEE,SD,1992,25,0,0,0,0,975000.0,0.0,1,0,0,0,Alto,Sin Saldo
PORTSMOUTH,IL,1995,18,0,0,0,0,157500.0,0.0,1,0,0,0,Medio,Sin Saldo
CINCINNATI,OH,1993,5,0,0,0,0,105000.0,0.0,1,0,1,0,Medio,Sin Saldo
WESTERVILLE,OH,1992,15,0,0,0,0,250000.0,0.0,1,0,0,0,Alto,Sin Saldo
COLUMBUS,OH,1990,23,0,0,0,0,299000.0,0.0,1,0,1,1,Alto,Sin Saldo
MILLERSPORT,IL,1990,12,0,0,0,0,90000.0,0.0,1,1,0,0,Medio,Sin Saldo
WESTLAKE,RI,2006,12,0,1,0,0,21000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
CINCINNATI,OH,1993,7,0,0,0,0,300000.0,0.0,1,0,0,0,Alto,Sin Saldo
TOLEDO,RI,2008,2,0,1,0,0,40000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
WESTERVILLE,OH,2002,2,0,1,1,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
COLUMBUS,MN,1999,25,0,0,0,0,45000.0,0.0,1,0,0,0,Bajo,Sin Saldo
TOLEDO,OH,1995,5,0,0,0,1,20000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
SEVILLE,OH,2006,5,1,1,0,0,72700.0,0.0,0,0,1,0,Bajo,Sin Saldo
MAUMEE,OH,1996,1,0,0,0,1,50000.0,0.0,1,0,0,0,Bajo,Sin Saldo
BRIDGEPORT,WV,1993,3,0,0,0,0,172000.0,0.0,1,0,0,0,Medio,Sin Saldo
TOLEDO,RI,2005,5,0,1,0,0,8000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CINCINNATI,OH,2014,1,0,1,1,0,20000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
ROCKY RIVER,DE,2008,2,1,1,0,0,39500.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
DEFIANCE,OH,2000,5,1,2,0,1,97000.0,0.0,1,0,0,0,Medio,Sin Saldo
AUSTINTOWN,SD,1999,3,0,0,0,0,145000.0,0.0,0,0,0,1,Medio,Sin Saldo
TOLEDO,OH,1997,10,0,0,0,1,80000.0,0.0,1,0,0,0,Bajo,Sin Saldo
PIQUA,OH,1984,80,1,0,0,0,788600.0,0.0,0,0,0,0,Alto,Sin Saldo
CINCINNATI,OH,2012,12,0,1,1,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
GENEVA,OH,2006,2,0,2,1,0,106542.0,0.0,1,0,0,1,Medio,Sin Saldo
MILFORD,VA,2004,22,0,2,0,0,50000.0,0.0,1,0,1,1,Bajo,Sin Saldo
SOLON,RI,1997,6,1,0,0,1,100000.0,0.0,1,0,0,0,Medio,Sin Saldo
WARREN,DE,2007,9,0,1,1,0,383843.0,0.0,1,0,1,1,Alto,Sin Saldo
MARYSVILLE,IL,2006,1,1,2,1,0,15657.0,0.0,1,0,1,0,Muy bajo,Sin Saldo
BEAVER CREEK,VA,2007,2,0,1,1,0,141830.0,0.0,0,0,1,1,Medio,Sin Saldo
CLEVELAND,OH,2003,5,0,1,0,0,141000.0,0.0,1,1,1,1,Medio,Sin Saldo
CHILLICOTHE,OH,2010,1,1,2,0,0,606000.0,0.0,1,0,1,1,Alto,Sin Saldo
SOLON,OH,2005,65,0,2,0,0,250000.0,0.0,0,0,0,1,Alto,Sin Saldo
LOCKBOURNE,CA,2006,1,0,1,0,0,15000.0,0.0,0,0,1,1,Muy bajo,Sin Saldo
TOLEDO,RI,2005,3,0,1,1,0,4286.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
PAINESVILLE,OH,1995,30,0,0,0,0,210000.0,0.0,1,0,0,0,Alto,Sin Saldo
MENTOR,OH,1992,25,1,0,0,0,347000.0,0.0,1,0,1,1,Alto,Sin Saldo
AKRON,IL,2006,22,1,1,0,0,100000.0,0.0,0,0,1,1,Medio,Sin Saldo
CANTON,OH,2002,68,0,1,0,0,568000.0,0.0,1,0,1,1,Alto,Sin Saldo
MIAMISBURG,IL,2000,2,1,1,0,0,18000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
FAIRBORN,OH,1990,8,0,0,0,0,200000.0,0.0,1,0,0,0,Medio,Sin Saldo
REYNOLDSBURG,OR,2007,1,0,1,0,0,25000.0,0.0,1,0,1,0,Muy bajo,Sin Saldo
COLUMBUS,OH,1994,57,0,0,0,0,160000.0,0.0,1,0,0,0,Medio,Sin Saldo
DIFIANCE,OH,1999,1,1,0,0,1,79000.0,0.0,1,0,0,0,Bajo,Sin Saldo
MARIETTA,OH,1995,55,0,0,0,0,250000.0,0.0,1,0,0,0,Alto,Sin Saldo
COLUMBUS,OH,2004,10,1,1,0,0,229300.0,0.0,1,0,1,0,Alto,Sin Saldo
AKRON,RI,2006,5,0,1,0,0,75000.0,0.0,0,0,0,1,Bajo,Sin Saldo
COLUMBUS,OH,1996,8,1,0,0,0,193525.0,0.0,1,0,0,0,Medio,Sin Saldo
BIRMINGHAM,OH,1996,30,0,0,0,0,752000.0,0.0,1,0,0,0,Alto,Sin Saldo
WESTLAKE,RI,2006,18,0,1,0,0,75000.0,0.0,1,0,0,1,Bajo,Sin Saldo
GAHANNA,OH,2007,1,0,1,1,0,30907.0,0.0,0,0,0,0,Muy bajo,Sin Saldo
YOUNGSTOWN,OH,1995,1,1,0,0,1,50000.0,0.0,1,0,0,0,Bajo,Sin Saldo
CLEVELAND,RI,2005,3,0,1,1,0,75635.0,0.0,0,0,1,1,Bajo,Sin Saldo
COLUMBUS,OH,1993,15,0,0,0,0,350000.0,0.0,1,0,0,0,Alto,Sin Saldo
HUDSON,VA,2005,8,0,1,1,0,137081.0,0.0,1,0,0,1,Medio,Sin Saldo
COLUMBUS,IN,1997,12,0,0,0,1,50000.0,0.0,1,0,0,0,Bajo,Sin Saldo
YOUNGSTOWN,OH,2002,14,0,1,0,1,120000.0,0.0,1,0,0,0,Medio,Sin Saldo
ZANESVILLE,OH,2005,15,0,2,1,0,321463.0,0.0,1,0,1,1,Alto,Sin Saldo
LEWIS CENTER,OH,2008,0,0,2,1,0,29987.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
HOLLAND,RI,2005,4,1,2,1,0,18070.0,0.0,0,0,1,1,Muy bajo,Sin Saldo
CANTON,RI,2005,4,1,1,1,0,81726.0,0.0,0,0,0,1,Bajo,Sin Saldo
COLUMBUS,OH,2000,1,1,1,0,1,30000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CLAYTON,OH,2006,2,1,2,0,0,168000.0,0.0,0,0,1,1,Medio,Sin Saldo
CINCINNATI,OH,2007,2,1,1,1,0,97811.0,0.0,1,0,1,1,Medio,Sin Saldo
NEWCOMERSTOWN,OH,2002,8,0,2,0,0,937000.0,0.0,1,1,0,1,Alto,Sin Saldo
CINCINNATI,DE,2007,1,1,1,0,0,70000.0,0.0,0,0,1,1,Bajo,Sin Saldo
MIAMISBURG,IL,2006,11,0,2,0,0,643000.0,0.0,1,0,1,1,Alto,Sin Saldo
BRUNSWICK,OH,2000,39,0,1,0,0,333000.0,0.0,1,0,1,0,Alto,Sin Saldo
CANTON,RI,2001,2,1,1,0,1,70000.0,0.0,1,0,0,0,Bajo,Sin Saldo
STRUTHERS,OH,2005,12,0,1,0,0,237600.0,0.0,1,0,1,1,Alto,Sin Saldo
WESTERVILLE,OH,2013,5,1,1,1,0,550000.0,0.0,1,0,1,1,Alto,Sin Saldo
YOUNGSTOWN,MI,2007,1,1,1,0,0,100000.0,0.0,1,0,0,0,Medio,Sin Saldo
WEST CHESTER,IL,1998,20,0,0,0,0,425000.0,0.0,1,0,0,0,Alto,Sin Saldo
WADSWORTH,OH,2007,0,0,1,0,0,80000.0,0.0,1,0,0,0,Bajo,Sin Saldo
TWINSBURG,DE,2003,3,1,1,0,0,40000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
MEDINA,OH,2005,1,0,1,1,0,10000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
CLEVELAND,OH,2011,0,0,1,1,0,62894.0,0.0,1,0,0,0,Bajo,Sin Saldo
SOUTH POINT,SD,1998,72,0,0,0,0,750000.0,0.0,1,0,0,0,Alto,Sin Saldo
CINCINNATI,OH,2004,75,0,1,0,0,375000.0,0.0,0,0,0,0,Alto,Sin Saldo
RICHFIELD,OH,1992,8,0,0,0,0,450000.0,0.0,1,0,0,0,Alto,Sin Saldo
CINCINNATI,OH,2008,35,0,1,1,0,98770.0,0.0,1,0,1,0,Medio,Sin Saldo
NORTH CANTON,OH,2003,18,0,1,0,1,102000.0,0.0,1,1,0,0,Medio,Sin Saldo
STOW,IL,2005,15,0,1,0,0,148500.0,0.0,1,0,0,1,Medio,Sin Saldo
NORWALK,VA,2007,5,0,2,1,0,59820.0,0.0,0,0,1,1,Bajo,Sin Saldo
PAINESVILLE,OH,2000,50,0,1,0,0,1000000.0,0.0,1,0,1,1,Alto,Sin Saldo
AVON,OH,2006,2,1,1,0,0,56000.0,0.0,1,0,0,1,Bajo,Sin Saldo
WESTLAKE,IN,2000,5,1,1,0,1,35000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
WELLINGTON,OH,1994,9,0,0,0,0,156000.0,0.0,1,0,1,1,Medio,Sin Saldo
BLUE ASH,OH,1996,112,0,0,0,0,232000.0,0.0,1,0,1,0,Alto,Sin Saldo
DELAWARE,DE,2007,8,0,1,1,0,83359.0,0.0,0,0,1,1,Bajo,Sin Saldo
LEXINGTON,OH,2006,0,0,2,1,0,108056.0,0.0,1,0,1,1,Medio,Sin Saldo
MIDDLEBURG HEIGHTS,DE,2005,4,0,1,0,0,120300.0,0.0,1,0,1,1,Medio,Sin Saldo
LAKEWOOD,RI,2005,5,0,1,1,0,2000.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
COLUMBUS,OH,2010,10,1,1,1,0,190000.0,0.0,1,0,1,1,Medio,Sin Saldo
ANNA,OH,2007,3,0,2,1,0,39462.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
HUDSON,OH,2006,12,1,1,1,0,60000.0,0.0,1,0,0,1,Bajo,Sin Saldo
OLMSTED FALLS,DE,2004,3,1,1,1,0,11572.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
FINDLAY,OH,2006,20,0,2,0,0,578000.0,0.0,1,0,1,0,Alto,Sin Saldo
DAYTON,OH,1991,350,0,0,0,0,165000.0,0.0,1,0,1,0,Medio,Sin Saldo
AKRON,VA,2006,10,0,1,0,0,50000.0,0.0,0,0,1,1,Bajo,Sin Saldo
TROY,OH,1997,46,0,0,0,0,177000.0,0.0,1,0,1,1,Medio,Sin Saldo
KINGSTON,OH,1983,26,0,0,0,0,300000.0,0.0,0,0,0,0,Alto,Sin Saldo
